,Acquistion or Disposition,Transaction Date,Deemed Execution Date,Reporting Owner,Form,Transaction Type,Direct or Indirect Ownership,Number of Securities Transacted,Number of Securities Owned,Line Number,Owner CIK,Security Name,doc link
0,A,2023-03-01,,HYMAN DAVID A,4,A-Award,--D,4652.0000,4652.0000,1,0001507747,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000090/0001065280-23-000090-index.htm
1,A,2023-03-01,,Dopfner Mathias,4,A-Award,--D,199.0000,199.0000,1,0001370931,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000089/0001065280-23-000089-index.htm
2,A,2023-03-01,,Karbowski Jeffrey William,4,A-Award,--D,71.0000,71.0000,1,0001819156,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000088/0001065280-23-000088-index.htm
3,A,2023-03-01,,Masiyiwa Strive,4,A-Award,--D,199.0000,199.0000,1,0001837857,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000087/0001065280-23-000087-index.htm
4,A,2023-03-01,,MATHER ANN,4,A-Award,--D,200.0000,200.0000,1,0001244892,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000086/0001065280-23-000086-index.htm
5,A,2023-03-01,,BARTON RICHARD N,4,A-Award,--D,200.0000,200.0000,1,0001184230,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000085/0001065280-23-000085-index.htm
6,A,2023-03-01,,Peters Gregory K,4,A-Award,--D,11514.0000,11514.0000,1,0001583109,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000084/0001065280-23-000084-index.htm
7,A,2023-03-01,,Sweeney Anne M,4,A-Award,--D,200.0000,200.0000,1,0001638276,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000083/0001065280-23-000083-index.htm
8,A,2023-03-01,,SARANDOS THEODORE A,4,A-Award,--D,13292.0000,13292.0000,1,0001393838,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000082/0001065280-23-000082-index.htm
9,A,2023-03-01,,KILGORE LESLIE J,4,A-Award,--D,200.0000,200.0000,1,0001218352,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000081/0001065280-23-000081-index.htm
10,A,2023-03-01,,HALEY TIMOTHY M,4,A-Award,--D,200.0000,200.0000,1,0001201583,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000080/0001065280-23-000080-index.htm
11,A,2023-03-01,,Neumann Spencer Adam,4,A-Award,--D,4652.0000,4652.0000,1,0001543133,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000079/0001065280-23-000079-index.htm
12,A,2023-03-01,,HASTINGS REED,4,A-Award,--D,1662.0000,1662.0000,1,0001033331,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000078/0001065280-23-000078-index.htm
13,A,2023-03-01,,SMITH BRADFORD L,4,A-Award,--D,200.0000,200.0000,1,0001193119,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000077/0001065280-23-000077-index.htm
14,A,2023-03-01,,Hoag Jay C,4,A-Award,--D,200.0000,200.0000,1,0001082906,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106299323005595/0001062993-23-005595-index.htm
15,A,2023-02-01,,HASTINGS REED,4,A-Award,--D,16867.0000,16867.0000,1,0001033331,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000061/0001065280-23-000061-index.htm
16,A,2023-02-01,,Dopfner Mathias,4,A-Award,--D,173.0000,173.0000,1,0001370931,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000060/0001065280-23-000060-index.htm
17,A,2023-02-01,,MATHER ANN,4,A-Award,--D,172.0000,172.0000,1,0001244892,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000059/0001065280-23-000059-index.htm
18,A,2023-02-01,,BARTON RICHARD N,4,A-Award,--D,172.0000,172.0000,1,0001184230,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000058/0001065280-23-000058-index.htm
19,A,2023-02-01,,SMITH BRADFORD L,4,A-Award,--D,172.0000,172.0000,1,0001193119,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000057/0001065280-23-000057-index.htm
20,A,2023-02-01,,Sweeney Anne M,4,A-Award,--D,172.0000,172.0000,1,0001638276,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000056/0001065280-23-000056-index.htm
21,A,2023-02-01,,Peters Gregory K,4,A-Award,--D,6577.0000,6577.0000,1,0001583109,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000055/0001065280-23-000055-index.htm
22,A,2023-02-01,,Masiyiwa Strive,4,A-Award,--D,173.0000,173.0000,1,0001837857,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000054/0001065280-23-000054-index.htm
23,A,2023-02-01,,SARANDOS THEODORE A,4,A-Award,--D,11510.0000,11510.0000,1,0001393838,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000053/0001065280-23-000053-index.htm
24,A,2023-02-01,,HALEY TIMOTHY M,4,A-Award,--D,172.0000,172.0000,1,0001201583,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000052/0001065280-23-000052-index.htm
25,A,2023-02-01,,KILGORE LESLIE J,4,A-Award,--D,172.0000,172.0000,1,0001218352,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000051/0001065280-23-000051-index.htm
26,A,2023-02-01,,HYMAN DAVID A,4,A-Award,--D,4029.0000,4029.0000,1,0001507747,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000050/0001065280-23-000050-index.htm
27,A,2023-02-01,,Neumann Spencer Adam,4,A-Award,--D,4029.0000,4029.0000,1,0001543133,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106528023000049/0001065280-23-000049-index.htm
28,A,2023-02-01,,Hoag Jay C,4,A-Award,--D,172.0000,172.0000,1,0001082906,Non-Qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000106299323001973/0001062993-23-001973-index.htm
29,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,14.0000,198.0000,39,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
30,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,13.0000,184.0000,38,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
31,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,14.0000,204.0000,37,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
32,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,17.0000,245.0000,36,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
33,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,17.0000,254.0000,35,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
34,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,18.0000,259.0000,34,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
35,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,22.0000,325.0000,33,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
36,D,2023-01-31,,Hoag Jay C,4,M-Exempt,--D,21.0000,303.0000,32,0001082906,Non-qualified Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001065280/000110465923009361/0001104659-23-009361-index.htm
