,Acquistion or Disposition,Transaction Date,Deemed Execution Date,Reporting Owner,Form,Transaction Type,Direct or Indirect Ownership,Number of Securities Transacted,Number of Securities Owned,Line Number,Owner CIK,Security Name,doc link
0,D,2023-03-08,,Musk Elon,4,M-Exempt,--D,5250.0000,0.0000,4,0001494730,Non-Qualifed Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001318605/000089924323008179/0000899243-23-008179-index.htm
1,D,2023-03-08,,Musk Elon,4,M-Exempt,--D,5250.0000,0.0000,3,0001494730,Non-Qualifed Stock Option (right to buy),https://www.sec.gov/Archives/edgar/data/0001318605/000089924323008179/0000899243-23-008179-index.htm
2,A,2023-03-08,,Musk Elon,4,M-Exempt,--I,5250.0000,411062076.0000,2,0001494730,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000089924323008179/0000899243-23-008179-index.htm
3,A,2023-03-08,,Musk Elon,4,M-Exempt,--I,5250.0000,411056826.0000,1,0001494730,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000089924323008179/0000899243-23-008179-index.htm
4,D,2023-03-06,,Baglino Andrew D,4,S-Sale,--D,1298.5000,65546.7500,2,0001790565,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000179056523000003/0001790565-23-000003-index.htm
5,D,2023-03-06,,Kirkhorn Zachary,4,S-Sale,--D,3749.2500,203073.0000,5,0001771364,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
6,D,2023-03-06,,Kirkhorn Zachary,4,S-Sale,--D,6706.0000,206822.2500,4,0001771364,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
7,D,2023-03-06,,Taneja Vaibhav,4,S-Sale,--D,2465.5000,100457.5000,3,0001771340,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000177134023000001/0001771340-23-000001-index.htm
8,D,2023-03-05,,Baglino Andrew D,4,M-Exempt,--D,2586.0000,7758.0000,3,0001790565,Restricted Stock Unit,https://www.sec.gov/Archives/edgar/data/0001318605/000179056523000003/0001790565-23-000003-index.htm
9,A,2023-03-05,,Baglino Andrew D,4,M-Exempt,--D,2586.0000,66845.2500,1,0001790565,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000179056523000003/0001790565-23-000003-index.htm
10,D,2023-03-05,,Kirkhorn Zachary,4,M-Exempt,--D,13500.0000,13500.0000,8,0001771364,Restricted Stock Unit,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
11,D,2023-03-05,,Kirkhorn Zachary,4,M-Exempt,--D,2722.0000,8168.0000,7,0001771364,Restricted Stock Unit,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
12,D,2023-03-05,,Kirkhorn Zachary,4,M-Exempt,--D,645.0000,1944.0000,6,0001771364,Restricted Stock Unit,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
13,A,2023-03-05,,Kirkhorn Zachary,4,M-Exempt,--D,13500.0000,213528.2500,3,0001771364,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
14,A,2023-03-05,,Kirkhorn Zachary,4,M-Exempt,--D,2722.0000,200028.2500,2,0001771364,Common Stock,https://www.sec.gov/Archives/edgar/data/0001318605/000177136423000004/0001771364-23-000004-index.htm
